overall acurracy 0.908303862122
overall precision 0.908303862122
overall recall 0.908303862122
overall f1_score 0.908303862122
tag:AT	 precision:0.88	 recall:0.88	 f1-score:0.88
tag:NP-TL	 precision:0.68	 recall:0.68	 f1-score:0.68
tag:NN-TL	 precision:0.87	 recall:0.87	 f1-score:0.87
tag:JJ-TL	 precision:0.8	 recall:0.8	 f1-score:0.8
tag:VBD	 precision:0.88	 recall:0.88	 f1-score:0.88
tag:NR	 precision:0.92	 recall:0.92	 f1-score:0.92
tag:NN	 precision:0.87	 recall:0.87	 f1-score:0.87
tag:IN	 precision:0.92	 recall:0.92	 f1-score:0.92
tag:NP$	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:JJ	 precision:0.87	 recall:0.87	 f1-score:0.87
tag:``	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:''	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:CS	 precision:0.85	 recall:0.85	 f1-score:0.85
tag:DTI	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:NNS	 precision:0.96	 recall:0.96	 f1-score:0.96
tag:.	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:RBR	 precision:0.69	 recall:0.69	 f1-score:0.69
tag:,	 precision:0.95	 recall:0.95	 f1-score:0.95
tag:WDT	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:HVD	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:VBZ	 precision:0.92	 recall:0.92	 f1-score:0.92
tag:CC	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:IN-TL	 precision:0.72	 recall:0.72	 f1-score:0.72
tag:BEDZ	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:VBN	 precision:0.85	 recall:0.85	 f1-score:0.85
tag:NP	 precision:0.84	 recall:0.84	 f1-score:0.84
tag:BEN	 precision:0.97	 recall:0.97	 f1-score:0.97
tag:TO	 precision:0.9	 recall:0.9	 f1-score:0.9
tag:VB	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:RB	 precision:0.87	 recall:0.87	 f1-score:0.87
tag:DT	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:PPS	 precision:0.9	 recall:0.9	 f1-score:0.9
tag:DOD	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:AP	 precision:0.9	 recall:0.9	 f1-score:0.9
tag:BER	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:HV	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:DTS	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:VBG	 precision:0.94	 recall:0.94	 f1-score:0.94
tag:PPO	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:QL	 precision:0.79	 recall:0.79	 f1-score:0.79
tag:JJT	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:ABX	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:NN-HL	 precision:0.52	 recall:0.52	 f1-score:0.52
tag:VBN-HL	 precision:0.5	 recall:0.5	 f1-score:0.5
tag:WRB	 precision:0.97	 recall:0.97	 f1-score:0.97
tag:CD	 precision:0.94	 recall:0.94	 f1-score:0.94
tag:MD	 precision:0.97	 recall:0.97	 f1-score:0.97
tag:BE	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:JJR	 precision:0.9	 recall:0.9	 f1-score:0.9
tag:VBG-TL	 precision:0.86	 recall:0.86	 f1-score:0.86
tag:BEZ	 precision:0.97	 recall:0.97	 f1-score:0.97
tag:NN$-TL	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:HVZ	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:ABN	 precision:0.94	 recall:0.94	 f1-score:0.94
tag:PN	 precision:0.89	 recall:0.89	 f1-score:0.89
tag:PPSS	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:PP$	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:DO	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:NN$	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:NNS-HL	 precision:0.53	 recall:0.53	 f1-score:0.53
tag:WPS	 precision:0.93	 recall:0.93	 f1-score:0.93
tag:*	 precision:0.97	 recall:0.97	 f1-score:0.97
tag:EX	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:VB-HL	 precision:0.47	 recall:0.47	 f1-score:0.47
tag::	 precision:0.96	 recall:0.96	 f1-score:0.96
tag:(	 precision:0.98	 recall:0.98	 f1-score:0.98
tag:)	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:NNS-TL	 precision:0.94	 recall:0.94	 f1-score:0.94
tag:NPS	 precision:0.95	 recall:0.95	 f1-score:0.95
tag:JJS	 precision:0.91	 recall:0.91	 f1-score:0.91
tag:RP	 precision:0.81	 recall:0.81	 f1-score:0.81
tag:--	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:BED	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:OD	 precision:0.96	 recall:0.96	 f1-score:0.96
tag:BEG	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:AT-HL	 precision:0.46	 recall:0.46	 f1-score:0.46
tag:VBG-HL	 precision:0.5	 recall:0.5	 f1-score:0.5
tag:AT-TL	 precision:0.69	 recall:0.69	 f1-score:0.69
tag:PPL	 precision:0.99	 recall:0.99	 f1-score:0.99
tag:DOZ	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:NP-HL	 precision:0.46	 recall:0.46	 f1-score:0.46
tag:NR$	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:DOD*	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:BEDZ*	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:,-HL	 precision:0.37	 recall:0.37	 f1-score:0.37
tag:CC-TL	 precision:0.47	 recall:0.47	 f1-score:0.47
tag:MD*	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:NNS$	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:PPSS+BER	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:'	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:PPSS+BEM	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:CD-TL	 precision:0.66	 recall:0.66	 f1-score:0.66
tag:RBT	 precision:0.25	 recall:0.25	 f1-score:0.25
tag:(-HL	 precision:0.35	 recall:0.35	 f1-score:0.35
tag:)-HL	 precision:0.44	 recall:0.44	 f1-score:0.44
tag:MD-HL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:VBZ-HL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:IN-HL	 precision:0.59	 recall:0.59	 f1-score:0.59
tag:JJ-HL	 precision:0.31	 recall:0.31	 f1-score:0.31
tag:PPLS	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:CD-HL	 precision:0.42	 recall:0.42	 f1-score:0.42
tag:WPO	 precision:0.78	 recall:0.78	 f1-score:0.78
tag:JJS-TL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:ABL	 precision:0.78	 recall:0.78	 f1-score:0.78
tag:BER-HL	 precision:0.5	 recall:0.5	 f1-score:0.5
tag:PPS+HVZ	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:VBD-HL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:RP-HL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:MD*-HL	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:AP-HL	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:CS-HL	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:DT$	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:HVN	 precision:0.96	 recall:0.96	 f1-score:0.96
tag:FW-IN	 precision:0.67	 recall:0.67	 f1-score:0.67
tag:FW-DT	 precision:0.0	 recall:0.0	 f1-score:0.0
tag:VBN-TL	 precision:0.83	 recall:0.83	 f1-score:0.83
tag:NR-TL	 precision:0.84	 recall:0.84	 f1-score:0.84
tag:NNS$-TL	 precision:0.5	 recall:0.5	 f1-score:0.5
tag:FW-NN	 precision:0.74	 recall:0.74	 f1-score:0.74
tag:HVG	 precision:1.0	 recall:1.0	 f1-score:1.0
tag:DTX	 precision:0.62	 recall:0.62	 f1-score:0.62
